文件标题,发布时间,行政区,行政区代码,城市,供应计划年度,供应总量_总量,供应总量_增量,供应总量_存量,商服用地,工矿仓储用地,住宅用地_总量,住宅用地_保障性住房用地,住宅用地_中小套型商品房用地,住宅用地_普通商品房用地,住宅用地_棚户区改造住房用地,交通运输用地,公共管理与公共服务用地,水域及水利设施用地,教育用地,工业用地,公益事业用地,特殊用地,其他用地,md5,url,crawling_time
辛集市2020年度国有建设用地供应计划,2020年3月31日 16:16,河北省 > 石家庄市 > 辛集市,辛集市,石家庄市,2020,181.1702公顷,,,2.9239公顷,92.7741公顷,27.6195公顷,,,,,29.3327公顷,28.5200公顷,,,,,,,41a2fa63437878805e8efddfcdbd4e98,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=29daa17a-d0dc-403f-8f44-5800871fe7a2&sitePath=,2020/7/6
饶阳县2020年度国有建设用地供应计划,2020年3月30日 17:28,河北省 > 衡水市 > 饶阳县,饶阳县,衡水市,2020,154.811公顷以内,,,32.0336公顷,84.9247公顷,33.4627公顷,,,,,,4.39公顷,,,,,,,430cf5221a2fab87e47f7f825113c57f,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=d2e2c79e-7e90-4f40-9260-9a63a90e2d9b&sitePath=,2020/7/6
兴隆县2020年度国有建设用地供应计划,2020年3月30日 10:08,河北省 > 承德市 > 兴隆县,兴隆县,承德市,2020,100.69公顷以内,,,14.14公顷,12.73公顷,66.31公顷,,,,0公顷,,7.5141公顷,0公顷,,,,,0公顷,46e45067d877fb3859b77f7c0ccd5f5d,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=5d1bb215-e714-47c5-b69f-720bdd59f380&sitePath=,2020/7/6
昌黎县2020年度国有建设用地供应计划,2020年3月30日 9:42,河北省 > 秦皇岛市 > 昌黎县,昌黎县,秦皇岛市,2020,260公顷以内,,,15公顷,120公顷,,,,20公顷,,102公顷,3公顷,,,,,,,e599c779638be265c6ee32f20d28955e,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=14add281-5167-4558-9044-5498d37ad7fc&sitePath=,2020/7/6
无极县2020年度国有建设用地供应计划,2020年3月30日 9:40,河北省 > 石家庄市 > 无极县,无极县,石家庄市,2020,83.5035公顷以内,,,0.7902公顷,56.2215公顷,11.9290公顷,,,,,,14.1017公顷,,,,,0.4611公顷,,207ddb9176f1090b55ecdd5ef73db860,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=e7b4f4b7-bd1b-4dd8-8877-221227753d2b&sitePath=,2020/7/6
柏乡县2020年度国有建设用地供应计划,2020年3月30日 9:11,河北省 > 邢台市 > 柏乡县,柏乡县,邢台市,2020,65.2915公顷,60.1294公顷以内,5.1621公顷,1.7805公顷,,16.851公顷,,,,,,4.7838公顷,,,,,,,019c6f25da69046feda905ef0abd29f3,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=66b4a0e8-24ec-4e7c-951d-21dd08a7c014&sitePath=,2020/7/6
南和县2020年度国有建设用地供应计划,2020年3月29日 9:19,河北省 > 邢台市 > 南和县,南和县,邢台市,2020,573023平方,,,,238413平方,159998平方,,,,,,146386平方,,,,,,,2b95f83d4248deda28389dd1c979e4d1,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=59462c88-51f2-4719-9741-9647bf1ef8e4&sitePath=,2020/7/6
三河市2020年度国有建设用地供应计划,2020年3月28日 17:56,河北省 > 廊坊市 > 三河市,三河市,廊坊市,2020,309.9857公顷以内,,,25.5633公顷,159.1332公顷,76.6598公顷,,,,,3.0067公顷,45.6227公顷,,,,,,,7846816497ec707ff6455608ed3f8c5a,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=8fdffd4b-0345-4431-a162-2c3ec13f404a&sitePath=,2020/7/6
隆尧县2020年度国有建设用地供应计划,2020年3月28日 11:03,河北省 > 邢台市 > 隆尧县,隆尧县,邢台市,2020,113.196公顷,89.5967公顷,,2.392公顷,,31.2公顷,,,,,,8.654公顷,,,,,,,a609fe052ccc4a66f81af22a425a2da0,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=7089f124-3c99-43cc-8f54-91efd2873681&sitePath=,2020/7/6
临西县2020年度国有建设用地供应计划,2020年3月28日 10:21,河北省 > 邢台市 > 临西县,临西县,邢台市,2020,114.4846公顷,,,10.2060公顷,71.3893公顷,18.074公顷,,,,,1.8420公顷,8.7793公顷,,,,,4.1940公顷,,d78f5f6c89c062ffdd16bdb608d24dc7,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=4459e641-788a-4717-89db-8bc5811eefce&sitePath=,2020/7/6
临漳县2020年度国有建设用地供应计划,2020年3月28日 10:02,河北省 > 邯郸市 > 临漳县,临漳县,邯郸市,2020,284.6275公顷,,,84.4947公顷,114.5591公顷,45.7371公顷,,,,,8.2673公顷,32.5440公顷,,,,,1.0053公顷,,faf8df44953735a4748f41a77b6091ba,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=a3c17a90-ce12-4e1f-9dc1-6ec5bc6526ac&sitePath=,2020/7/6
广宗县2020年度国有建设用地供应计划,2020年3月28日 9:38,河北省 > 邢台市 > 广宗县,广宗县,邢台市,2020,73.3公顷,,,,50.7公顷,17.3公顷,,,,,,5.3公顷,,,,,,,15df424abcdd039af234ba82ed6761ca,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=42ede60f-1398-4c02-a620-e65f1ba67cc6&sitePath=,2020/7/6
任县2020年度国有建设用地供应计划,2020年3月27日 17:34,河北省 > 邢台市 > 任县,任县,邢台市,2020,104.39公顷,100.83公顷以内,3.56公顷,,,,,,,,,,,,64.42公顷,,,,4b80e0f4ec146652992beb7d492eaef8,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=75c8d62c-3d48-491b-ac9b-81e5631112d3&sitePath=,2020/7/6
沧州市本级2020年度国有建设用地供应计划,2020年3月27日 17:16,河北省 > 沧州市 > 沧州市本级,沧州市本级,沧州市,2020,995.3828公顷,,403.7280公顷,53.8640公顷,430.9674公顷,310.8668公顷,,,,48.1334公顷,106.7788公顷,92.9058公顷,,,,,,,aec14cc3bc72ae3386605bf24375a9eb,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=7d828564-a7e0-4db4-b9d5-32f7764b48d5&sitePath=,2020/7/6
海兴县2020年度国有建设用地供应计划,2020年3月27日 16:34,河北省 > 沧州市 > 海兴县,海兴县,沧州市,2020,488.33公顷,,,5公顷,100公顷,20公顷,,,15公顷,,333.33公顷,30公顷,,,,,,,14c3e9c66cee85679e04fb2ec949407d,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=6e636096-f110-4a78-8ecc-6f00e0e33ae1&sitePath=,2020/7/6
泊头市2020年度国有建设用地供应计划,2020年3月27日 16:29,河北省 > 沧州市 > 泊头市,泊头市,沧州市,2020,101公顷,,,1公顷,60公顷,33公顷,,25公顷,,,,1公顷,,,,,0公顷,,2d411aa463738c6290ded6a514cd1649,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=db63a3fe-2f76-4995-8512-dd6aa2dccefe&sitePath=,2020/7/6
新河县2020年度国有建设用地供应计划,2020年3月27日 16:18,河北省 > 邢台市 > 新河县,新河县,邢台市,2020,76.46公顷以内,,,3.9963公顷,48.2065公顷,15.3493公顷,,,,10.8公顷,1.7981公顷,7.1098公顷,,,,,,,5da9772737637d40d18c22ba5d0da84e,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=90e189d7-6aaf-4dda-872c-6b55795389ba&sitePath=,2020/7/6
宽城满族自治县2020年度国有建设用地供应计划,2020年3月27日 16:12,河北省 > 承德市 > 宽城满族自治县,宽城满族自治县,承德市,2020,191.56公顷,,,21.4174公顷,,41.4157公顷,,,,,39.9484公顷,16.5186公顷,,,,,0.4845公顷,,db391793e74b470dc2d156dea364ceb6,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=cf1b08a7-f6bb-460f-8049-44c7544f1673&sitePath=,2020/7/6
易县2020年度国有建设用地供应计划,2020年3月27日 15:45,河北省 > 保定市 > 易县,易县,保定市,2020,173.8974公顷以内,,,44.3071公顷,75.3483公顷,16.9714公顷,,,,,26.3941公顷,,,,,,,,3463ff07b1b25f00b094f7219e46aa54,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=c1a81f65-8636-4084-90a1-f234d68da88d&sitePath=,2020/7/6
深州市2020年度国有建设用地供应计划,2020年3月27日 14:33,河北省 > 衡水市 > 深州市,深州市,衡水市,2020,260公顷以内,,,10公顷,,40公顷,,,,15公顷,25公顷,30公顷,5公顷,,,,5公顷,,3a5cf9a68fa11f7be7b761031f3af0e0,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=609064b5-166b-4969-bd78-feec2496d693&sitePath=,2020/7/6
香河县2020年度国有建设用地供应计划,2020年3月27日 14:24,河北省 > 廊坊市 > 香河县,香河县,廊坊市,2020,113.6618公顷,,,19.7597公顷,38.2690公顷,49.0378公顷,,,,,,6.5953公顷,,,,,,,1a15096f917fecf046343b7b946ef531,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=dd0d2bd9-eb18-4162-9974-a28afda16ba5&sitePath=,2020/7/6
东光县2020年度国有建设用地供应计划,2020年3月27日 10:49,河北省 > 沧州市 > 东光县,东光县,沧州市,2020,,,,3.33公顷,50公顷,40公顷,,,,,1公顷,2.5公顷,,,,,,,0cdfb92dfc2a909d7e5aede0dc8abf91,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=ad9260ef-faab-40a6-b741-a572fc46a9f1&sitePath=,2020/7/6
阜平县2020年度国有建设用地供应计划,2020年3月27日 10:37,河北省 > 保定市 > 阜平县,阜平县,保定市,2020,107.2769公顷以内,,,4.1708公顷,16.5550公顷,33.1567公顷,,,,,,18.5318公顷,,,,,34.8626公顷,,e4f39257c9e13a15091fb296e8b9ddac,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=0c0083c4-56c3-4370-83af-9bd82246acf3&sitePath=,2020/7/6
巨鹿县2020年度国有建设用地供应计划,2020年3月27日 10:35,河北省 > 邢台市 > 巨鹿县,巨鹿县,邢台市,2020,114.8673公顷,,,,83.7567公顷,24.4977公顷,,,,,,6.6129公顷,,,,,,,e669837bd00d255e783be0dc25fc00f1,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=4a2733fe-132f-4703-ba67-da70ee9f3594&sitePath=,2020/7/6
河间市2020年度国有建设用地供应计划,2020年3月27日 10:33,河北省 > 沧州市 > 河间市,河间市,沧州市,2020,152.8177公顷以内,,,9.0223公顷,67.6164公顷,42.2915公顷,,,,,19.8414公顷,14.0461公顷,,,,,,,0a13617555e3b1f06d0ae90afecdbef7,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=97783eb6-3323-43cb-8bf3-66995fe44c8f&sitePath=,2020/7/6
隆化县2020年度国有建设用地供应计划,2020年3月27日 10:28,河北省 > 承德市 > 隆化县,隆化县,承德市,2020,93.0公顷以内,,,30公顷,25公顷,21公顷,,,,,2.0公顷,15公顷,,,,,,,b109df7c225c6d66d3c25712a9645c63,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=040d8518-6458-4c63-bf0b-d2ece42654ba&sitePath=,2020/7/6
肃宁县2020年度国有建设用地供应计划,2020年3月27日 10:25,河北省 > 沧州市 > 肃宁县,肃宁县,沧州市,2020,,,,,,,,,,,,,,,,,,,8605aefa46b1c7173472debcd1a3d8d8,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=3c149f7d-b471-4c34-90b4-9c7fc9eb4f17&sitePath=,2020/7/6
南皮县2020年度国有建设用地供应计划,2020年3月27日 10:08,河北省 > 沧州市 > 南皮县,南皮县,沧州市,2020,125.44公顷,120公顷以内,14.13公顷,4.84公顷,,25.88公顷,,,,,15.09公顷,5.70公顷,,,,,,,4983beb481b9f002f5c18134ec3d3301,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=8be3a1fa-fbee-4670-a888-0be8036e6821&sitePath=,2020/7/6
临城县2020年度国有建设用地供应计划,2020年3月27日 9:28,河北省 > 邢台市 > 临城县,临城县,邢台市,2020,136.9923公顷以内,136.9923公顷,,6.38公顷,110.7015公顷,12.4531公顷,,,,,,7.4577公顷,,,,,,,d3445fbbaef86a600a41b5d3c03fc96b,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=32152a81-8069-42d6-beee-02e276f1f2a1&sitePath=,2020/7/6
平泉县2020年度国有建设用地供应计划,2020年3月27日 9:15,河北省 > 承德市 > 平泉县,平泉县,承德市,2020,101.00公顷,,,0.6666公顷,,26.0公顷,,,26.0公顷,,,0.84公顷,,,,,,,b7fd484b9d468f62647484414fa7b801,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=c98bab1a-8498-45bb-a4b9-b8af187513e2&sitePath=,2020/7/6
平乡县2020年度国有建设用地供应计划,2020年3月26日 16:41,河北省 > 邢台市 > 平乡县,平乡县,邢台市,2020,1323402.51平方,,,222500平方,406833平方,476563.51平方,,,,,,217506平方,,,,,,,fc99fd65511cd0f2c3c367caa1846b5a,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=a4c85216-c75a-4e26-bba2-3201a107207e&sitePath=,2020/7/6
唐县2020年度国有建设用地供应计划,2020年3月26日 15:43,河北省 > 保定市 > 唐县,唐县,保定市,2020,,,,,,,,,,,,,,,,,,,868a506af8368dd12a7d2560aaf0158f,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=99e75394-f044-4af2-bd88-13662c427e94&sitePath=,2020/7/6
阳原县2020年度国有建设用地供应计划,2020年3月26日 11:51,河北省 > 张家口市 > 阳原县,阳原县,张家口市,2020,65.1634公顷,,,9.7602公顷,,24.1167公顷,,,,,6.2339公顷,6.7603公顷,,,18.0973公顷,,0.1950公顷,,ccb749c4dd766fb7c3ec8f34499aeebb,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=63af6010-72ff-4025-9263-9bd81348840b&sitePath=,2020/7/6
永清县2020年度国有建设用地供应计划,2020年3月26日 11:31,河北省 > 廊坊市 > 永清县,永清县,廊坊市,2020,92.3938公顷,,,2.4478公顷,21.8505公顷,68.0955公顷,,,,,,,,,,,,,0f1ee8c078bcbc44d7538d332f04c206,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=99a797ae-f211-4947-8bad-82d4396a169c&sitePath=,2020/7/6
迁西县2020年度国有建设用地供应计划,2020年3月26日 11:23,河北省 > 唐山市 > 迁西县,迁西县,唐山市,2020,98.7434公顷以内,94.4981公顷,4.2453公顷,18.1612公顷,31.6764公顷,46.7459公顷,,,,,,2.1599公顷,,,,,,,4e9f59927583ddb839f3fd1fcc05ab4e,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=faa2e657-93de-4594-b287-e5332487c176&sitePath=,2020/7/6
玉田县2020年度国有建设用地供应计划,2020年3月26日 9:51,河北省 > 唐山市 > 玉田县,玉田县,唐山市,2020,122.1977公顷,,,7.5754公顷,92.7599公顷,21.5333公顷,,,,,,0.3291公顷,,,,,,,cf9719f69b77e95e4690fbfb5ee72306,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=bd443e63-15c5-46e9-a160-40e50d3e88e4&sitePath=,2020/7/6
怀来县2020年度国有建设用地供应计划,2020年3月25日 16:10,河北省 > 张家口市 > 怀来县,怀来县,张家口市,2020,220.0812公顷,,,25.6425公顷,73.4565公顷,95.6508公顷,,,,,,,,,,,,,08b3e62ce62baf62fb848c2c8f6e4cd0,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=0855c070-7f9a-4046-83e3-cc501f1b223f&sitePath=,2020/7/6
阜城县2020年度国有建设用地供应计划,2020年3月25日 14:56,河北省 > 衡水市 > 阜城县,阜城县,衡水市,2020,208.2024公顷,,,8.5公顷,158.982公顷,17.76公顷,,,17.6249公顷,,0.88公顷,22.08公顷,,,,,,,bb9756839f9fd4da15e1eb548b9a0f0d,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=d5ea209f-0705-41e0-a131-5913eca18986&sitePath=,2020/7/6
宁晋县2020年度国有建设用地供应计划,2020年3月25日 14:43,河北省 > 邢台市 > 宁晋县,宁晋县,邢台市,2020,175.4668公顷,,,11.5171公顷,,26.6061公顷,,,,,,,,,,,,,3db8d1020f27c6288e7075d4875ed536,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=850198ec-b05a-4028-a9c9-a3788742a85a&sitePath=,2020/7/6
平山县2020年度国有建设用地供应计划,2020年3月25日 11:15,河北省 > 石家庄市 > 平山县,平山县,石家庄市,2020,156.6444公顷,156.6444公顷,0公顷,55.7449公顷,37.3741公顷,33.1728公顷,0.3333公顷,23.23公顷,,,6.5770公顷,23.7756公顷,,,,,,,8fedc5a189fa1a4f351d8398e5d0de38,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=219c673b-8516-4608-bf57-ca27af19a5bc&sitePath=,2020/7/6
黄骅市2020年度国有建设用地供应计划,2020年3月25日 10:55,河北省 > 沧州市 > 黄骅市,黄骅市,沧州市,2020,1065.2967公顷,,,1065.2967公顷,1065.2967公顷,1065.2967公顷,,,,,1065.2967公顷,1065.2967公顷,1065.2967公顷,,,,,,63ad1a952e208a8bfe01caa22bb21c38,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=71a03e7d-f6f9-4df5-847b-86e83d2b74fb&sitePath=,2020/7/6
高邑县2020年度国有建设用地供应计划,2020年3月25日 10:49,河北省 > 石家庄市 > 高邑县,高邑县,石家庄市,2020,150.72234公顷,,,,,36.592673公顷,,,,,,,,,107.98376公顷,,,,1e8741a8b7d9924d34f23d08676dd821,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=9e45319f-33be-497e-b0ee-c8a99140f9bc&sitePath=,2020/7/6
深泽县2020年度国有建设用地供应计划,2020年3月25日 10:46,河北省 > 石家庄市 > 深泽县,深泽县,石家庄市,2020,,,,,,,,,,,,,,,,,,,0c7db59b6faa8d175f14bf55ad15d0a6,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=da654701-eb18-40c0-b1ee-7d11413ba8de&sitePath=,2020/7/6
武安市2020年度国有建设用地供应计划,2020年3月25日 9:53,河北省 > 邯郸市 > 武安市,武安市,邯郸市,2020,180公顷,,,70公顷,100公顷,,,,,,,10公顷,,,,,,,e252d2761455d80aae8cf2d3d9b8085f,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=7708e2b3-f4b5-4180-b5bb-a47e00e1aad2&sitePath=,2020/7/6
元氏县2020年度国有建设用地供应计划,2020年3月24日 16:01,河北省 > 石家庄市 > 元氏县,元氏县,石家庄市,2020,113.1886公顷,97.7179公顷,15.4707公顷,35.4183公顷,,55.7836公顷,,39.0486公顷,,,,,,,43.6599公顷,,,,f6e645fab2330d3e6a86e39b1ad5338b,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=f4a068a6-70dd-436e-b7a0-8c15b68a0d23&sitePath=,2020/7/6
行唐县2020年度国有建设用地供应计划,2020年3月24日 15:46,河北省 > 石家庄市 > 行唐县,行唐县,石家庄市,2020,92.4419公顷,83.1085公顷以内,9.3334公顷,,,15.5974公顷,,,,,,30.6398公顷,,,46.2047公顷,,,,b553a02d98636049d1c3b22f3a5f4ae8,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=b41f08a1-e236-4ffa-8dac-3bebbb811f55&sitePath=,2020/7/6
吴桥县2020年度国有建设用地供应计划,2020年3月24日 11:02,河北省 > 沧州市 > 吴桥县,吴桥县,沧州市,2020,188.4240公顷以内,111.1567公顷以内,77.2673公顷,,,33.7507公顷,,,,,20公顷,9.7066公顷,,,40公顷,,,,bd6659525a1dcd154c4da6fbe881a334,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=0d4b65b0-aec6-4b5e-adaa-c2e68fd2491c&sitePath=,2020/7/6
石家庄市本级2020年度国有建设用地供应计划,2020年3月24日 10:10,河北省 > 石家庄市 > 石家庄市本级,石家庄市本级,石家庄市,2020,1526.56公顷以内,,,148.07公顷,482.37公顷,520.89公顷,,,,,134.01公顷,241.12公顷,,,,,,,e3fd3cbe9bf96b557773197c4633e024,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=28e6d890-4ff8-4cc1-a386-41e0253b4b77&sitePath=,2020/7/6
青县2020年度国有建设用地供应计划,2020年3月24日 9:55,河北省 > 沧州市 > 青县,青县,沧州市,2020,117.58公顷以内,,,3.86公顷,,42.56公顷,,,,,,,,,53.38公顷,,,,b3f993b2e4c2c464c5e725fc6c687f57,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=cb53bcb3-2800-4134-82b9-a55fb846be4e&sitePath=,2020/7/6
清河县2020年度国有建设用地供应计划,2020年3月23日 18:04,河北省 > 邢台市 > 清河县,清河县,邢台市,2020,,,,13公顷,67公顷,,,,,,,,,,,,,,19fe13426fd6f24d9e4e593f3bb5ff53,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=ebb3900e-a6fb-4bc1-8c82-a8bac8ddadce&sitePath=,2020/7/6
晋州市2020年度国有建设用地供应计划,2020年3月23日 16:21,河北省 > 石家庄市 > 晋州市,晋州市,石家庄市,2020,85公顷,,,,,57公顷,,,,,,,,,36公顷,,,,1df8c6d201047a3a9ad2c5fd05a1ab40,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=e4b9b3ea-b047-4ebd-886d-c1fbdfe556a2&sitePath=,2020/7/6
孟村回族自治县2020年度国有建设用地供应计划,2020年3月23日 16:11,河北省 > 沧州市 > 孟村回族自治县,孟村回族自治县,沧州市,2020,92公顷以内,70公顷以内,12公顷,7公顷,40公顷,20公顷,,,,,,5公顷,,,,,,,c4295aaa05b36d700b920cc6a9f8a78a,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=0e4a76f6-08fe-4398-a900-2ba6da2dddea&sitePath=,2020/7/6
武强县2020年度国有建设用地供应计划,2020年3月23日 15:33,河北省 > 衡水市 > 武强县,武强县,衡水市,2020,70.5公顷,,,2.5公顷,,8.5公顷,,,,,,,,,,,,,8c77a76340976b4008870cffd6586289,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=86edd500-3be3-4c8b-a396-097b5c98dafc&sitePath=,2020/7/6
献县2020年度国有建设用地供应计划,2020年3月23日 14:46,河北省 > 沧州市 > 献县,献县,沧州市,2020,,,,,,,,,,,,,,,,,,,a59ae08c4a3cb416e6e3e526f67f954d,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=568cd975-4bb1-467a-b5ce-0784d83fc296&sitePath=,2020/7/6
枣强县2020年度国有建设用地供应计划,2020年3月23日 11:18,河北省 > 衡水市 > 枣强县,枣强县,衡水市,2020,73.3334公顷,,,2.3636公顷,54.7393公顷,,,,,,,2.8964公顷,,,,,,,8e27a195875761f876f1c8714fe9225d,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=1f34d47f-cf9d-4414-ba26-77e0209f98e2&sitePath=,2020/7/6
