文件标题,发布时间,行政区,行政区代码,城市,供应计划年度,供应总量_总量,供应总量_增量,供应总量_存量,商服用地,工矿仓储用地,住宅用地_总量,住宅用地_保障性住房用地,住宅用地_中小套型商品房用地,住宅用地_普通商品房用地,住宅用地_棚户区改造住房用地,交通运输用地,公共管理与公共服务用地,水域及水利设施用地,教育用地,工业用地,公益事业用地,特殊用地,其他用地,md5,url,crawling_time
辛集市2019年度国有建设用地供应计划,2019年3月29日 16:18,河北省 > 石家庄市 > 辛集市,辛集市,石家庄市,2019,273.9674公顷,,,9.157公顷,173.1448公顷,65公顷,,,,,6.4538公顷,19.8823公顷,,,,,0.3295公顷,,f3901ffb846929b755aec400dacd2f06,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=68f66af4-f888-4181-809a-504642d690b9&sitePath=,2020/7/6
蔚县2019年度国有建设用地供应计划,2019年3月29日 16:11,河北省 > 张家口市 > 蔚县,蔚县,张家口市,2019,550公顷,320公顷,,20公顷,75公顷,150公顷,,,,,,25公顷,,,,,,,c09fcb164af7c99b24f67efefc893d61,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=023171f7-a73d-40e7-b404-281f08f081a5&sitePath=,2020/7/6
深州市2019年度国有建设用地供应计划,2019年3月29日 9:02,河北省 > 衡水市 > 深州市,深州市,衡水市,2019,275公顷以内,,,10公顷,,50公顷,,,,40公顷,20公顷,25公顷,5公顷,,,,5公顷,,cf8976e7b54e989d4296691a0be1e3cd,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=d5f00092-dbe0-47ad-9d1c-0fc220d54127&sitePath=,2020/7/6
张北县2019年度国有建设用地供应计划,2019年3月28日 18:54,河北省 > 张家口市 > 张北县,张北县,张家口市,2019,432.7031公顷,,,89.552公顷,52.468公顷,45.9513公顷,,,,,40.3535公顷,197.9116公顷,,,,,,,47587e391e3582be00c4b8cd1fffa9e2,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=7e58d764-abd5-4806-875e-71843a90f763&sitePath=,2020/7/6
青龙满族自治县2019年度国有建设用地供应计划,2019年3月28日 17:23,河北省 > 秦皇岛市 > 青龙满族自治县,青龙满族自治县,秦皇岛市,2019,101.9899公顷,,,64.9116公顷,19.7547公顷,4.5734公顷,,,,,,12.7502公顷,,,,,,,1666f3c8df0f825dceb9027781b182a4,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=81f3ba9d-73e8-4bcb-968b-916cf4d33e81&sitePath=,2020/7/6
康保县2019年度国有建设用地供应计划,2019年3月28日 17:00,河北省 > 张家口市 > 康保县,康保县,张家口市,2019,206公顷,,,,,25公顷,0公顷,,,1公顷,,,,,,,,,1830b0cd88a7089b628ea3410b183091,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=770af657-6cdf-4aaa-b200-6d2c67bba4cd&sitePath=,2020/7/6
乐亭县2019年度国有建设用地供应计划,2019年3月28日 14:53,河北省 > 唐山市 > 乐亭县,乐亭县,唐山市,2019,551.87公顷以内,,,173.18公顷,,16.28公顷,,,,,,10.63公顷,,,,,0.83公顷,,972cf636a72012c87d769cfa051169a0,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=675e0f04-9619-44b1-a3f9-5861b878076d&sitePath=,2020/7/6
唐山市曹妃甸区2019年度国有建设用地供应计划,2019年3月28日 14:14,河北省 > 唐山市 > 唐海县,唐海县,唐山市,2019,2132.59公顷以内,533.52公顷以内,1599.07公顷,133.48公顷,1356.68公顷,46.26公顷,,,,,342.59公顷,253.59公顷,,,,,,,fc2069dce910c520548be64158f244ed,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=96affb80-9a50-4bba-880d-a2d587dbc5ec&sitePath=,2020/7/6
昌黎县2019年度国有建设用地供应计划,2019年3月28日 11:02,河北省 > 秦皇岛市 > 昌黎县,昌黎县,秦皇岛市,2019,287.392公顷以内,,,15公顷,60公顷,,,,20公顷,,182.392公顷,10公顷,,,,,,,e0c348d6a97296e2609b8bf319fc78c9,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=2955216a-0f67-4e54-9dbc-7feb188c14a9&sitePath=,2020/7/6
临西县2019年度国有建设用地供应计划,2019年3月27日 17:37,河北省 > 邢台市 > 临西县,临西县,邢台市,2019,193.6507公顷,,,25.0933公顷,119.1347公顷,31.337公顷,,,,,10.778公顷,4.94公顷,,,,,,,b7f8051d0c365a5c75add53fd87647b6,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=c53b2a5d-2651-4f55-980b-3c2a5e9da0a0&sitePath=,2020/7/6
